10000,43
10001,26
10002,43
10003,57
10004,100
10005,57
10006,55
10007,60
10008,37
10009,30
10010,50
10011,17
10012,59
10013,57
10014,27
10015,6
10016,49
10017,30
10018,57
10019,56
10020,50
10021,46
10022,50
10023,93
10024,63
10025,11
10026,54
10027,18
10028,48
10029,58
10030,43
10031,81
10032,50
10033,85
10034,71
10035,43
10036,66
10037,81
10038,76
10039,57
10040,60
10041,47
10042,37
10043,36
10044,21
10045,77
10046,34
10047,43
10048,57
10049,67
10050,61
10051,76
10052,53
10053,76
10054,61
10055,58
10056,69
10057,84
10058,37
10059,69
10060,59
10061,82
10062,84
10063,61
10064,57
10065,63
10066,64
10067,46
10068,54
10069,66
10070,70
10071,70
10072,92
10073,77
10074,72
10075,72
10076,61
10077,70
10078,94
10079,50
10080,37
10081,75
10082,70
10083,21
10084,62
10085,71
10086,65
10087,80
10088,85
10089,88
10090,37
10091,83
10092,53
10093,43
10094,84
10095,79
10096,81
10097,57
10098,53
10099,56
